,school_name,city,lat,lon,altitude
247,Seat of Wisdom Academy,LongBeach,33.820153128185154,-118.06371781467179,0.0
248,True Social Justice Academy,LongBeach,33.7784313877551,-118.18511395918367,0.0
249,First Lutheran Christian Preschool,LongBeach,33.7784313877551,-118.18511395918367,0.0
250,Bayshore Co-op Preschool,LongBeach,33.753063694305716,-118.13143286058946,0.0
251,Barton Child Development Center,LongBeach,,,
252,Williams Family Child Care Center,LongBeach,33.857737829591656,-118.17286717402521,0.0
253,Galicia Child Care Center,LongBeach,,,
254,Herrera Family Child Care Center,LongBeach,33.79720489795918,-118.2009014489796,0.0
255,Abilty First-Newport Mesa Prog,LongBeach,33.80422014281854,-118.14883849794379,0.0
256,Ymca-Grtr Lb Los Altos Brnch,LongBeach,33.787438183673466,-118.12353730612244,0.0
257,Ymca Glb-Longfellow,LongBeach,33.846064262626264,-118.1850435050505,0.0
258,Silver Bear Pre-School,LongBeach,33.775253,-118.159901,0.0
259,St Lucy Pre-School,LongBeach,33.79925919649507,-118.21642625353351,0.0
260,Webster Head Start,LongBeach,33.81622255102041,-118.21590402040816,0.0
261,Bundle Of Joy Day Care Center,LongBeach,33.844305999999996,-118.19304128571429,0.0
262,Mccraw Family Day Care Center,LongBeach,33.877623132363375,-118.1987126551823,0.0
263,St Pauls Lutheran Pre-School,LongBeach,33.7982491,-118.10801409999999,0.0
264,St Clair Child Care Center,LongBeach,33.858494,-118.157558,0.0
265,Elliott Day Care,LongBeach,33.79417395544198,-118.09160213649552,0.0
266,Tucker Head Start,LongBeach,33.7969194,-118.1763422,0.0
267,Rainbow In A Cloud Cdc,LongBeach,,,
268,Cdi Head Start -Small World,LongBeach,,,
269,Cdi Head Start-Randle,LongBeach,,,
270,Cdi Head Start-Bethune,LongBeach,,,
271,Cdi Head Start-Mary B Henry,LongBeach,,,
272,Cdi Head Start-Cesar Chavez,LongBeach,,,
273,Cdi Head Start-Bright Stars,LongBeach,,,
274,Elm Street Head Start,LongBeach,33.78435244897959,-118.18809173469388,0.0
275,Sesson Child Care Center,LongBeach,33.856832749999995,-118.19224224999999,0.0
276,Ices Education Child Care Center-Birney,LongBeach,,,
277,Little Owl Pre-School,LongBeach,33.81927393877551,-118.18635446938777,0.0
278,Un Mundo De Amigos Pre-School,LongBeach,33.7851192195122,-118.18928619512195,0.0
279,Kidz R Us Community Child Care Center,LongBeach,33.85444210526316,-118.178725,0.0
280,Fun 2 Learn Pre-School,LongBeach,33.86306311764706,-118.1771995882353,0.0
281,Creative Minds Christian Academy,LongBeach,33.870526999999996,-118.17724899999999,0.0
282,All About Kids Learning Center,LongBeach,33.87452945762712,-118.17640425423728,0.0
283,Bixby Oaks Child Care Center,LongBeach,33.827881727272725,-118.18925481818182,0.0
284,Open Door Enrichment Child Care Center,LongBeach,33.87419530612245,-118.2019693265306,0.0
285,The Education Corps,LongBeach,33.8229023877551,-118.1851156122449,0.0
286,Clear Passage Educational Center,LongBeach,33.78469651724138,-118.18078290804598,0.0
287,Success Work College Preparatory Academy,LongBeach,33.841987461538466,-118.19218911538461,0.0
288,Spectrum Center- Long Beach Middle Market Street,LongBeach,33.854431657894736,-118.18047868421053,0.0
289,St Cornelius Elementary,LongBeach,33.7882985,-118.1242461,0.0
290,United Faith Community Day Care Center,LongBeach,33.87996178947368,-118.20433778947368,0.0
291,Bethany Baptist Elementary,LongBeach,33.7961587,-118.1340178,0.0
292,Holy Innocents Elementary School,LongBeach,33.802687,-118.193612,0.0
293,St. Anthony Elementary School,LongBeach,33.773004388888886,-118.18127016666666,0.0
294,St. Athanasius Elementary School,LongBeach,33.854219,-118.1859597,0.0
295,St. Cornelius Elementary School,LongBeach,33.7882985,-118.1242461,0.0
296,Saint Anthony High School,LongBeach,33.774805487804876,-118.18229,0.0
297,St. Joseph Elementary School,LongBeach,33.803149,-118.11084,0.0
298,St. Cyprian Elementary School,LongBeach,,,
299,St. Maria Goretti,LongBeach,33.82940215870572,-118.10767491159234,0.0
300,Our Lady Of Refuge,LongBeach,33.7992976,-118.1300753,0.0
301,St. Lucy School,LongBeach,33.79925919649507,-118.21642625353351,0.0
302,Bethany Lutheran School,LongBeach,,,
303,Grace Christian School,LongBeach,33.822273,-118.186548,0.0
304,Nazarene Christian,LongBeach,33.7947118,-118.1356613,0.0
305,Lakewood Christian Schools,LongBeach,,,
306,Gethsemane Baptist Christian,LongBeach,33.865364953488374,-118.1774108139535,0.0
307,Los Altos Brethren School,LongBeach,,,
308,Montessori Children's House School,LongBeach,33.7886839,-118.0940163,0.0
309,Creative Arts School,LongBeach,33.784890346938774,-118.17208632653062,0.0
310,Regency High School,LongBeach,33.78359232653061,-118.19775573469389,0.0
311,Albert Baxter Elementary School,Bellflower,33.900315,-118.138301,0.0
312,Bellflower High School,Bellflower,33.893060750000004,-118.11518600532531,0.0
313,Thomas Jefferson Elementary School,Bellflower,33.869755732568,-118.11988614293962,0.0
314,Ramona Elementary School,Bellflower,33.883029957037536,-118.13523557418753,0.0
315,Ernie Pyle Elementary School,Bellflower,33.900564,-118.116535,0.0
316,Washington Elementary School,Bellflower,33.89307377551021,-118.1271118367347,0.0
317,Frank E. Woodruff Elementary School,Bellflower,33.89450474659017,-118.12191341790958,0.0
318,Adventist Union School,Bellflower,33.892626270072995,-118.1360688540146,0.0
319,Southland Christian Academy,Bellflower,33.8896514,-118.1173982,0.0
320,Christ Heritage Academy,Bellflower,33.88928226013335,-118.11621593958357,0.0
321,Bellflower Alternative Education Center,Bellflower,33.882826652770866,-118.13403694014696,0.0
323,Somerset Continuation High School,Bellflower,33.88302687972691,-118.13752385931518,0.0
324,Creative Day Academy,Bellflower,33.87285,-118.145346,0.0
325,Veritas Christian School,Bellflower,33.88788629411765,-118.13683588235294,0.0
326,Whole Heart Christian Academy,Bellflower,,,
327,Ymca-Los Cerritos,Bellflower,33.8896514,-118.1173982,0.0
328,Golden West Pre-School,Bellflower,33.88928226013335,-118.11621593958357,0.0
329,Ernie Pyle Head Start Center,Bellflower,33.882826652770866,-118.13403694014696,0.0
330,Bellflower United Methodist Pre-School,Bellflower,33.899968413860236,-118.12540949281474,0.0
331,First Christian Church Dc,Bellflower,,,
332,Thomas Jefferson Ex Head Start,Bellflower,33.87113396153846,-118.12127592307692,0.0
333,Whitewood Child Development Center,Bellflower,33.882826652770866,-118.13403694014696,0.0
334,Kaicyna Christian Academy,Bellflower,33.87280906060606,-118.10967918181818,0.0
335,Quality Childrens Srvc Head Start,Bellflower,33.88215118181818,-118.13230072727272,0.0
336,St Dominic Savio Pre-K,Bellflower,33.90969298510723,-118.124228338165,0.0
337,Cannan Pre-School,Bellflower,33.876502,-118.133782,0.0
338,Craig Williams Head Start,Bellflower,33.9079907,-118.1340899,0.0
