,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
38,Cerritos,Cerritos High School,9,"12500 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1411-Cerritos-High-School/,Public district,9-12,2177.0,24:1,Abc Unified School District,81.0,57.0,46.0,False,False,False,True,21-30,33.86575815151515,-118.06590183838384,0.0,40%,6%,17%,26%,<1%,1%,3%,1%,6%
39,Cerritos,Gonsalves (Joe A.) Elementary School,9,"13650 Park Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1416-Gonsalves-Joe-A.-Elementary-School/,Public district,K-6,642.0,26:1,Abc Unified School District,87.0,79.0,73.0,False,True,False,False,21-30,33.87863704081633,-118.04128189795918,0.0,63%,5%,8%,15%,1%,<1%,1%,,7%
40,Cerritos,Leal (Frank C.) Elementary School,9,"12920 Droxford Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1421-Leal-Frank-C.-Elementary-School/,Public district,K-6,766.0,26:1,Abc Unified School District,89.0,79.0,78.0,False,True,False,False,21-30,33.8610743877551,-118.05668863265306,0.0,52%,5%,14%,17%,1%,1%,4%,1%,5%
41,Cerritos,Nixon (Patricia) Elementary School,9,"19600 Jacob Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1424-Nixon-Patricia-Elementary-School/,Public district,K-6,785.0,27:1,Abc Unified School District,75.0,67.0,67.0,False,True,False,False,21-30,33.852771,-118.07646,0.0,17%,9%,18%,39%,<1%,1%,5%,2%,9%
42,Cerritos,Stowers(Cecil B.) Elementary School,9,"13350 Beach Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1427-StowersCecil-B.-Elementary-School/,Public district,K-6,670.0,29:1,Abc Unified School District,71.0,65.0,61.0,False,True,False,False,21-30,33.8764334872129,-118.04749864999766,0.0,37%,5%,13%,31%,<1%,<1%,4%,3%,7%
43,Cerritos,Bragg Elementary School,8,"11501 Bos Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1406-Bragg-Elementary-School/,Public district,K-6,655.0,27:1,Abc Unified School District,70.0,64.0,59.0,False,True,False,False,21-30,33.8561773,-118.08948485309236,0.0,17%,10%,25%,33%,<1%,1%,6%,2%,6%
44,Cerritos,Carver (Charles J.) Elementary School,8,"19200 Ely Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1409-Carver-Charles-J.-Elementary-School/,Public district,K-6,618.0,26:1,Abc Unified School District,70.0,53.0,46.0,False,True,False,False,21-30,33.856216,-118.068866,0.0,16%,14%,15%,45%,1%,<1%,3%,,6%
45,Cerritos,Gahr (Richard) High School,8,"11111 Artesia Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1415-Gahr-Richard-High-School/,Public district,9-12,1927.0,23:1,Abc Unified School District,74.0,43.0,39.0,False,False,False,True,21-30,33.87487315,-118.09635804744636,0.0,14%,15%,12%,47%,<1%,1%,2%,1%,8%
46,Cerritos,Tetzlaff (Martin B.) Middle School,7,"12351 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1428-Tetzlaff-Martin-B.-Middle-School/,Public district,7-8,646.0,25:1,Abc Unified School District,65.0,41.0,49.0,False,False,True,False,21-30,33.84619126339967,-118.06887051531696,0.0,19%,12%,17%,39%,<1%,<1%,4%,1%,8%
47,Cerritos,Haskell (Pliny Fisk) Middle School,6,"11525 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1417-Haskell-Pliny-Fisk-Middle-School/,Public district,7-8,556.0,23:1,Abc Unified School District,52.0,37.0,32.0,False,False,True,False,21-30,33.84809565,-118.08785740960866,0.0,12%,13%,11%,54%,<1%,1%,3%,,6%
48,Cerritos,Juarez (Benito) Elementary School,5,"11939 Aclare Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1419-Juarez-Benito-Elementary-School/,Public district,K-6,339.0,22:1,Abc Unified School District,42.0,27.0,27.0,False,True,False,False,21-30,33.87451293877551,-118.07888342857144,0.0,8%,13%,10%,63%,,1%,1%,,4%
49,Cerritos,ABC Secondary (Alternative) School,Unrated,"13418 Moore St, Cerritos, CA 90703",https://www.greatschools.org/california/cerritos/11946-ABC-Secondary-Alternative-School/,Public district,7-12,82.0,68:1,Abc Unified School District,22.0,5.0,5.0,False,False,True,True,30+,33.88195092307693,-118.0456346153846,0.0,4%,11%,5%,74%,,,1%,,5%
50,Cerritos,Kindercare Learning Center,Unrated,"18727 Carmenita Road, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/12805-Kindercare-Learning-Center/,Private,PK-K,118.0,Unknown,Private,,,,True,False,False,False,Unknown,33.86178879424042,-118.04635771717254,0.0,,,,,,,,,
51,Cerritos,Tracy (Wilbur) High (Continuation) School,Unrated,"12222 Cuesta Drive, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/1429-Tracy-Wilbur-High-Continuation-School/,Public district,9-12,239.0,15:1,Abc Unified School District,11.0,1.0,5.0,False,False,False,True,10-15,33.87893981642205,-118.07201366210752,0.0,4%,10%,3%,72%,<1%,1%,,1%,9%
52,Cerritos,Fecc Children Academy,Unrated,"11330 E 166th St, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/15210-Fecc-Children-Academy/,Private,PK-K,15.0,Unknown,Private,,,,True,False,False,False,Unknown,,,,,,,,,,,,
53,Cerritos,Cerritos Lane Pre-School,Unrated,"20223 Cabrillo Lane, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/15529-Cerritos-Lane-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.84676549267495,-118.07981242605578,0.0,,,,,,,,,
54,Cerritos,Joy Pre-School,Unrated,"12429 195th Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/17928-Joy-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.85352875962015,-118.06576613303912,0.0,,,,,,,,,
