,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
165,Little Light House Ed Child Care Center,Unrated,"909 Pine Ave, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/19958-Little-Light-House-Ed-Child-Care-Center/,Private,PK,N/A,N/A,N/A
166,Montessori On Elm,Unrated,"930 Elm Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/19959-Montessori-On-Elm/,Private,1-4,32,N/A,N/A
167,First Lutheran Pre-School,Unrated,"946 Linden Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/19960-First-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
168,Comprehensive Child Development Center,Unrated,"2565 Pacific Avenue, Long Beach, CA, 90806",https://www.greatschools.org/california/long-beach/22595-Comprehensive-Child-Development-Center/,Private,PK,N/A,N/A,N/A
169,Muila Area 2,Unrated,"1640 Alamitos Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/23863-Muila-Area-2/,Private,K-12,N/A,N/A,N/A
170,Oaktree Preschool And Kindergarten,Unrated,"1710 Redondo Avenue, Long Beach, CA, 90804",https://www.greatschools.org/california/long-beach/24428-Oaktree-Preschool-And-Kindergarten/,Private,PK-K,26,N/A,N/A
171,Oakwood Academy - Bixby Campus,Unrated,"3850 Long Beach Boulevard, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/24429-Oakwood-Academy---Bixby-Campus/,Private,K-2,137,N/A,N/A
172,Maple Village Waldorf School,Unrated,"4017 East 6th Street, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/25487-Maple-Village-Waldorf-School/,Private,PK-8,118,N/A,N/A
173,Beach High-Intensive Learning Program,Unrated,"3701 East Willow Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/25750-Beach-High-Intensive-Learning-Program/,Public district,9-12,154,13:1,Long Beach Unified School District
174,Reid High School,Unrated,"2153 West Hill Street, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/2598-Reid-High-School/,Public district,11-12,208,24:1,Long Beach Unified School District
175,Seat of Wisdom Academy,Unrated,"3510 Farnham Avenue, Long Beach, CA, 90808",https://www.greatschools.org/california/long-beach/26018-Seat-Of-Wisdom-Academy/,Private,K-11,N/A,N/A,N/A
176,True Social Justice Academy,Unrated,"905 Atlantic Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/26037-True-Social-Justice-Academy/,Private,6-12,N/A,N/A,N/A
177,First Lutheran Christian Preschool,Unrated,"905 Atlantic, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/26449-First-Lutheran-Christian-Preschool/,Private,PK,N/A,N/A,N/A
178,Bayshore Co-op Preschool,Unrated,"5431 Ocean Ave., Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/26455-Bayshore-Co-Op-Preschool/,Private,PK,N/A,N/A,N/A
179,Barton Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/27326-Barton-Child-Development-Center/,Private,PK,N/A,N/A,N/A
180,Williams Family Child Care Center,Unrated,"1635 East 56th Street, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/27702-Williams-Family-Child-Care-Center/,Private,PK,N/A,N/A,N/A
181,Galicia Child Care Center,Unrated,"1339 North Peterson Avenue, Long Beach, CA, 90813",https://www.greatschools.org/california/long-beach/27704-Galicia-Child-Care-Center/,Private,PK,N/A,N/A,N/A
182,Herrera Family Child Care Center,Unrated,"737 West Hill Street, Long Beach, CA, 90806",https://www.greatschools.org/california/long-beach/27705-Herrera-Family-Child-Care-Center/,Private,PK,N/A,N/A,N/A
183,Abilty First-Newport Mesa Prog,Unrated,"3770 East Willow Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/27805-Abilty-First-Newport-Mesa-Prog/,Private,PK,N/A,N/A,N/A
184,Ymca-Grtr Lb Los Altos Brnch,Unrated,"1720 North Bellflower Boulevard, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/27929-Ymca-Grtr-Lb-Los-Altos-Brnch/,Private,PK-K,N/A,N/A,N/A
185,Ymca Glb-Longfellow,Unrated,"4949 Atlantic Avenue, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/27978-Ymca-Glb-Longfellow/,Private,PK,N/A,N/A,N/A
186,Silver Bear Pre-School,Unrated,"2700 East 7th Street, Long Beach, CA, 90804",https://www.greatschools.org/california/long-beach/28193-Silver-Bear-Pre-School/,Private,PK,N/A,N/A,N/A
187,St Lucy Pre-School,Unrated,"2320 Cota Avenue, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/28360-St-Lucy-Pre-School/,Private,PK,N/A,N/A,N/A
188,Webster Head Start,Unrated,"1755 West 32nd Way, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/28753-Webster-Head-Start/,Private,PK-K,N/A,N/A,N/A
189,Bundle Of Joy Day Care Center,Unrated,"4829 Long Beach Boulevard, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29046-Bundle-Of-Joy-Day-Care-Center/,Private,PK,N/A,N/A,N/A
190,Mccraw Family Day Care Center,Unrated,"250 East 68th Street, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29070-Mccraw-Family-Day-Care-Center/,Private,PK,N/A,N/A,N/A
191,St Pauls Lutheran Pre-School,Unrated,"2285 Palo Verde Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/29265-St-Pauls-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
192,St Clair Child Care Center,Unrated,"2900 East 56th Way, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29633-St-Clair-Child-Care-Center/,Private,PK,N/A,N/A,N/A
193,Elliott Day Care,Unrated,"2114 Stevely Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/29695-Elliott-Day-Care/,Private,PK,N/A,N/A,N/A
194,Tucker Head Start,Unrated,"Orange Avenue, Long Beach, CA, 90755",https://www.greatschools.org/california/long-beach/29706-Tucker-Head-Start/,Private,PK,N/A,N/A,N/A
195,Rainbow In A Cloud Cdc,Unrated,"Po Box 40117, Long Beach, CA, 90804",https://www.greatschools.org/california/long-beach/29730-Rainbow-In-A-Cloud-Cdc/,Private,PK,N/A,N/A,N/A
196,Cdi Head Start -Small World,Unrated,"Po Box 5517, Long Beach, CA, 90805",https://www.greatschools.org/california/long-beach/29760-Cdi-Head-Start--Small-World/,Private,PK,N/A,N/A,N/A
