,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
104,Santa Fe Kids Company of California,Unrated,"11304 Washington Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/33146-Santa-Fe-Kids-Company-Of-California/,Private,K,7,N/A,N/A
105,St. Gregory The Great,Unrated,"13925 Telegraph Road, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/7928-St.-Gregory-The-Great/,Private,K-8,325,N/A,N/A
106,St. Bruno Parish School,Unrated,"15700 Citrustree Road, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/7933-St.-Bruno-Parish-School/,Private,K-8,350,N/A,N/A
107,St. Mary Of The Assumption Elementary School,Unrated,"7218 Pickering Avenue, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/8028-St.-Mary-Of-The-Assumption-Elementary-School/,Private,K-8,194,N/A,N/A
108,Whittier Friends School,Unrated,"6726 Washington Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/8468-Whittier-Friends-School/,Private,PK-5,25,N/A,N/A
109,Oralingua School North Whittier,Unrated,"7056 Washington Avenue, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/8474-Oralingua-School-North-Whittier/,Private,PK-7,71,N/A,N/A
110,Faith Lutheran Church & School,Unrated,"9920 Mills Avenue, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/8652-Faith-Lutheran-Church--School/,Private,PK-1,33,N/A,N/A
111,Trinity Lutheran School,Unrated,"11716 Floral Drive, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/8653-Trinity-Lutheran-School/,Private,K-8,31,N/A,N/A
112,Brethren Christian Schools Pk-8,Unrated,"8101 Vicki Dr, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/8712-Brethren-Christian-Schools-Pk-8/,Private,K-8,N/A,N/A,N/A
113,Hadley,Unrated,"11703 Hadley Street, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/8770-Hadley/,Private,PK-1,41,N/A,N/A
114,Primanti Montessori School,Unrated,"10947 Valley Home Avenue, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/8858-Primanti-Montessori-School/,Private,PK-8,217,N/A,N/A
115,Whittier Adventist Elm School,Unrated,"8841 Calmada Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/9069-Whittier-Adventist-Elm-School/,Private,1-8,16,N/A,N/A
116,Whittier Christian Schools-Newlin,Unrated,"6548 Newlin Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/9158-Whittier-Christian-Schools-Newlin/,Private,K-8,197,N/A,N/A
117,Plymouth Christian School,Unrated,"12058 Beverly Boulevard, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/9211-Plymouth-Christian-School/,Private,PK-6,224,N/A,N/A
118,Childrens Academy,Unrated,"12230 Loma Dr, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/9375-Childrens-Academy/,Private,PK-K,N/A,N/A,N/A
119,Palm View Christian School,Unrated,"7106 Sorensen Ave, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/9837-Palm-View-Christian-School/,Private,PK-8,N/A,N/A,N/A
120,Wonder World Pre-School Ii,Unrated,"4701 Bermuda View Drive, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/27574-Wonder-World-Pre-School-Ii/,Private,PK,N/A,N/A,N/A
